2021-07-09 15:49:33 root         INFO     Starting sales producer
2021-07-09 15:49:34 root         INFO     Produced {'seller_id': 'KC', 'product': 'Toothpaste', 'quantity': 3, 'product_price': 4.99, 'sale_ts': 1625863773744} to topic salesitems partition 0 offset 9
2021-07-09 15:49:39 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothbrush', 'quantity': 2, 'product_price': 3.99, 'sale_ts': 1625863779015} to topic salesitems partition 0 offset 19
2021-07-09 15:49:44 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Dental Floss', 'quantity': 1, 'product_price': 1.99, 'sale_ts': 1625863784226} to topic salesitems partition 0 offset 29
2021-07-09 15:49:49 root         INFO     Produced {'seller_id': 'KC', 'product': 'Toothbrush', 'quantity': 1, 'product_price': 3.99, 'sale_ts': 1625863789442} to topic salesitems partition 0 offset 39
2021-07-09 15:49:54 root         INFO     Produced {'seller_id': 'LNK', 'product': 'Dental Floss', 'quantity': 5, 'product_price': 1.99, 'sale_ts': 1625863794652} to topic salesitems partition 0 offset 49
2021-07-09 15:50:00 root         INFO     Produced {'seller_id': 'KC', 'product': 'Dental Floss', 'quantity': 3, 'product_price': 1.99, 'sale_ts': 1625863799862} to topic salesitems partition 0 offset 59
2021-07-09 15:50:05 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothbrush', 'quantity': 4, 'product_price': 3.99, 'sale_ts': 1625863805074} to topic salesitems partition 0 offset 69
2021-07-09 15:50:10 root         INFO     Produced {'seller_id': 'KC', 'product': 'Dental Floss', 'quantity': 4, 'product_price': 1.99, 'sale_ts': 1625863810283} to topic salesitems partition 0 offset 79
2021-07-09 15:50:15 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothbrush', 'quantity': 3, 'product_price': 3.99, 'sale_ts': 1625863815492} to topic salesitems partition 0 offset 89
2021-07-09 15:50:20 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Toothpaste', 'quantity': 5, 'product_price': 4.99, 'sale_ts': 1625863820704} to topic salesitems partition 0 offset 99
2021-07-09 15:50:26 root         INFO     Produced {'seller_id': 'KC', 'product': 'Dental Floss', 'quantity': 2, 'product_price': 1.99, 'sale_ts': 1625863825912} to topic salesitems partition 0 offset 109
2021-07-09 15:50:31 root         INFO     Produced {'seller_id': 'LNK', 'product': 'Toothbrush', 'quantity': 3, 'product_price': 3.99, 'sale_ts': 1625863831123} to topic salesitems partition 0 offset 119
2021-07-09 15:50:36 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothbrush', 'quantity': 4, 'product_price': 3.99, 'sale_ts': 1625863836333} to topic salesitems partition 0 offset 129
2021-07-09 15:50:41 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Toothbrush', 'quantity': 5, 'product_price': 3.99, 'sale_ts': 1625863841543} to topic salesitems partition 0 offset 139
2021-07-09 15:50:46 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothpaste', 'quantity': 3, 'product_price': 4.99, 'sale_ts': 1625863846753} to topic salesitems partition 0 offset 149
2021-07-09 15:50:52 root         INFO     Produced {'seller_id': 'LNK', 'product': 'Toothbrush', 'quantity': 4, 'product_price': 3.99, 'sale_ts': 1625863851966} to topic salesitems partition 0 offset 159
2021-07-09 15:50:57 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Dental Floss', 'quantity': 1, 'product_price': 1.99, 'sale_ts': 1625863857177} to topic salesitems partition 0 offset 169
2021-07-09 15:51:02 root         INFO     Produced {'seller_id': 'LNK', 'product': 'Toothbrush', 'quantity': 4, 'product_price': 3.99, 'sale_ts': 1625863862392} to topic salesitems partition 0 offset 179
2021-07-09 15:51:07 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Dental Floss', 'quantity': 1, 'product_price': 1.99, 'sale_ts': 1625863867602} to topic salesitems partition 0 offset 189
2021-07-09 15:51:13 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Toothpaste', 'quantity': 1, 'product_price': 4.99, 'sale_ts': 1625863872813} to topic salesitems partition 0 offset 199
2021-07-09 15:51:18 root         INFO     Produced {'seller_id': 'KC', 'product': 'Toothpaste', 'quantity': 5, 'product_price': 4.99, 'sale_ts': 1625863878024} to topic salesitems partition 0 offset 209
2021-07-09 15:51:23 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Toothbrush', 'quantity': 1, 'product_price': 3.99, 'sale_ts': 1625863883235} to topic salesitems partition 0 offset 219
2021-07-09 15:51:28 root         INFO     Produced {'seller_id': 'LNK', 'product': 'Toothbrush', 'quantity': 5, 'product_price': 3.99, 'sale_ts': 1625863888445} to topic salesitems partition 0 offset 229
2021-07-09 15:51:33 root         INFO     Produced {'seller_id': 'KC', 'product': 'Toothbrush', 'quantity': 1, 'product_price': 3.99, 'sale_ts': 1625863893654} to topic salesitems partition 0 offset 239
2021-07-09 15:51:39 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Toothbrush', 'quantity': 4, 'product_price': 3.99, 'sale_ts': 1625863898867} to topic salesitems partition 0 offset 249
2021-07-09 15:51:44 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothpaste', 'quantity': 5, 'product_price': 4.99, 'sale_ts': 1625863904079} to topic salesitems partition 0 offset 259
2021-07-09 15:51:49 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Dental Floss', 'quantity': 4, 'product_price': 1.99, 'sale_ts': 1625863909286} to topic salesitems partition 0 offset 269
2021-07-09 15:51:54 root         INFO     Produced {'seller_id': 'DEN', 'product': 'Toothpaste', 'quantity': 5, 'product_price': 4.99, 'sale_ts': 1625863914493} to topic salesitems partition 0 offset 279
2021-07-09 15:51:59 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothpaste', 'quantity': 1, 'product_price': 4.99, 'sale_ts': 1625863919705} to topic salesitems partition 0 offset 289
2021-07-09 15:52:05 root         INFO     Produced {'seller_id': 'KC', 'product': 'Dental Floss', 'quantity': 5, 'product_price': 1.99, 'sale_ts': 1625863924916} to topic salesitems partition 0 offset 299
2021-07-09 15:52:10 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothpaste', 'quantity': 4, 'product_price': 4.99, 'sale_ts': 1625863930129} to topic salesitems partition 0 offset 309
2021-07-09 15:52:15 root         INFO     Produced {'seller_id': 'OMA', 'product': 'Toothpaste', 'quantity': 2, 'product_price': 4.99, 'sale_ts': 1625863935342} to topic salesitems partition 0 offset 319
2021-07-09 15:52:20 root         INFO     Produced {'seller_id': 'KC', 'product': 'Toothpaste', 'quantity': 3, 'product_price': 4.99, 'sale_ts': 1625863940551} to topic salesitems partition 0 offset 329
2021-07-09 15:52:25 root         INFO     Produced {'seller_id': 'LNK', 'product': 'Dental Floss', 'quantity': 4, 'product_price': 1.99, 'sale_ts': 1625863945763} to topic salesitems partition 0 offset 339
